filename,width,height,description
rozstanie.png,640,360,Kobieta stoi w deszczu patrząc na odchodzącego mężczyznę
spotkanie.png,640,480,Dwoje ludzi spotyka się przypadkowo w kawiarni przy oknie z widokiem na park
list.png,500,300,Stary list z poetyckim pismem odręcznym i zasuszonym kwiatem
park.png,800,400,Jesienny park z kolorowymi liśćmi i pustą ławką
drzwi.png,400,600,Uchylone stare drzwi z widoczną smugą światła
zdjecie.png,500,400,Stare zdjęcie w sepii przedstawiające parę nad jeziorem
deszcz.png,700,350,Widok przez okno na deszczowy dzień w mieście
swiatlo.png,600,400,Promienie słońca przebijające się przez gałęzie drzew
muzyka.png,450,450,Stary gramofon grający płytę winylową w nastrojowym świetle
ksiazka.png,500,350,Otwarta książka z zakreślonym cytatem i filiżanką herbaty obok
